VW_30cm,T_30cm,Class,,
0.33000,11.70000,Tolarate,,
0.33000,11.80000,Tolarate,,
0.33000,11.70000,Tolarate,,
0.33000,11.70000,Tolarate,,
0.33000,11.70000,Tolarate,,
0.33000,11.60000,Tolarate,,
0.32900,11.50000,Tolarate,,
0.32900,11.50000,Tolarate,,
0.32800,11.40000,Tolarate,,
0.32800,11.30000,Tolarate,,
0.32800,11.20000,Tolarate,,
0.32800,11.10000,Tolarate,,
0.32700,11.00000,Tolarate,,
0.32600,10.90000,Tolarate,,
0.32600,10.90000,Tolarate,,
0.32600,10.80000,Tolarate,,
0.32600,10.80000,Tolarate,,
0.32600,10.90000,Tolarate,,
0.32500,11.00000,Tolarate,,
0.32500,11.10000,Tolarate,,
0.32600,11.30000,Tolarate,,
0.32600,11.40000,Tolarate,,
0.32600,11.50000,Tolarate,,
0.32600,11.60000,Tolarate,,
0.32600,11.70000,Tolarate,,
0.32600,11.70000,Tolarate,,
0.32600,11.70000,Tolarate,,
0.32500,11.70000,Tolarate,,
0.32500,11.70000,Tolarate,,
0.32500,11.60000,Tolarate,,
0.32800,11.50000,Tolarate,,
0.33600,11.40000,Tolarate,,
0.35100,11.30000,Tolarate,,
0.36000,11.10000,Tolarate,,
0.36300,11.00000,Tolarate,,
0.36500,10.80000,Tolarate,,
0.36400,10.70000,Tolarate,,
0.36300,10.50000,Tolarate,,
0.36100,10.40000,Tolarate,,
0.36000,10.30000,Tolarate,,
0.36000,10.30000,Tolarate,,
0.35800,10.20000,Tolarate,,
0.35700,10.30000,Tolarate,,
0.35700,10.30000,Tolarate,,
0.35700,10.40000,Tolarate,,
0.35600,10.50000,Tolarate,,
0.35700,10.70000,Tolarate,,
0.35600,10.80000,Tolarate,,
0.35600,10.90000,Tolarate,,
0.35600,10.90000,Tolarate,,
0.35600,10.90000,Tolarate,,
0.35500,10.90000,Tolarate,,
0.35500,10.90000,Tolarate,,
0.35400,10.90000,Tolarate,,
0.35400,10.80000,Tolarate,,
0.35300,10.70000,Tolarate,,
0.35300,10.70000,Tolarate,,
0.35200,10.60000,Tolarate,,
0.35200,10.50000,Tolarate,,
0.35100,10.40000,Tolarate,,
0.35100,10.30000,Tolarate,,
0.35000,10.20000,Tolarate,,
0.35000,10.10000,Tolarate,,
